Pathway Accession	Mapped Ids	Pathway Name	Componenets	Subfamilies	Associated Sequence
P00059	HUMAN|HGNC=11785|UniProtKB=P07996,HUMAN|HGNC=576|UniProtKB=O14727,HUMAN|HGNC=1592|UniProtKB=P51959,HUMAN|HGNC=17637|UniProtKB=Q96FX8,HUMAN|HGNC=1579|UniProtKB=P14635,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=4095|UniProtKB=P24522,HUMAN|HGNC=11920|UniProtKB=P25445,HUMAN|HGNC=6973|UniProtKB=Q00987,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=9277|UniProtKB=O15297,HUMAN|HGNC=10452|UniProtKB=P31350,HUMAN|HGNC=12791|UniProtKB=Q14191,HUMAN|HGNC=8971|UniProtKB=O00443,HUMAN|HGNC=1589|UniProtKB=P24864,HUMAN|HGNC=8583|UniProtKB=P05121,HUMAN|HGNC=5472|UniProtKB=P17936,HUMAN|HGNC=8949|UniProtKB=P36952,HUMAN|HGNC=11998|UniProtKB=P04637,HUMAN|HGNC=2718|UniProtKB=Q92466,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=9588|UniProtKB=P60484,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=8638|UniProtKB=Q92831,HUMAN|HGNC=10773|UniProtKB=P31947,HUMAN|HGNC=12003|UniProtKB=O15350,HUMAN|HGNC=1771|UniProtKB=P24941,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=11904|UniProtKB=O00220,HUMAN|HGNC=11905|UniProtKB=O14763,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=959|UniProtKB=Q07812,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=1784|UniProtKB=P38936,HUMAN|HGNC=882|UniProtKB=Q13535,HUMAN|HGNC=29983|UniProtKB=Q9HA38,HUMAN|HGNC=15979|UniProtKB=Q9H3D4,HUMAN|HGNC=6210|UniProtKB=P27701,HUMAN|HGNC=3373|UniProtKB=Q09472,HUMAN|HGNC=9299|UniProtKB=P67775,HUMAN|HGNC=3115|UniProtKB=O00716,HUMAN|HGNC=11907|UniProtKB=Q9UBN6,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=11206|UniProtKB=P23497,HUMAN|HGNC=4983|UniProtKB=P09429,HUMAN|HGNC=9300|UniProtKB=P62714,HUMAN|HGNC=9113|UniProtKB=P29590,HUMAN|HGNC=2348|UniProtKB=Q92793,HUMAN|HGNC=4853|UniProtKB=Q92769,HUMAN|HGNC=944|UniProtKB=O60241,HUMAN|HGNC=1790|UniProtKB=P55273,HUMAN|HGNC=7411|UniProtKB=O94776,HUMAN|HGNC=13698|UniProtKB=Q9NYZ3,HUMAN|HGNC=17582|UniProtKB=Q8WYB5,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=4852|UniProtKB=Q13547,HUMAN|HGNC=12502|UniProtKB=P63165,HUMAN|HGNC=945|UniProtKB=O60242,HUMAN|HGNC=9108|UniProtKB=Q13794,HUMAN|HGNC=19353|UniProtKB=Q96ST3,HUMAN|HGNC=6974|UniProtKB=O15151,HUMAN|HGNC=4097|UniProtKB=O95257,HUMAN|HGNC=1725|UniProtKB=P30304,HUMAN|HGNC=12032|UniProtKB=Q12933,HUMAN|HGNC=14929|UniProtKB=Q96EB6,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=1491|UniProtKB=P47756,HUMAN|HGNC=795|UniProtKB=Q13315,HUMAN|HGNC=8977|UniProtKB=O00329	p53 pathway	70	119	577
P02773	HUMAN|HGNC=6903|UniProtKB=Q00266,HUMAN|HGNC=7468|UniProtKB=Q99707,HUMAN|HGNC=6904|UniProtKB=P31153	S-adenosylmethionine biosynthesis	2	17	74
P02785	HUMAN|HGNC=977|UniProtKB=O15382,HUMAN|HGNC=17856|UniProtKB=Q9UJ83,HUMAN|HGNC=6041|UniProtKB=A1L0T0,HUMAN|HGNC=976|UniProtKB=P54687	Valine biosynthesis	4	32	121
P02750	HUMAN|HGNC=16429|UniProtKB=O43766	Lipoate_biosynthesis	3	12	49
P00060	HUMAN|HGNC=9556|UniProtKB=O00231,HUMAN|HGNC=26736|UniProtKB=Q5U5R9,HUMAN|HGNC=12475|UniProtKB=P62837,HUMAN|HGNC=21033|UniProtKB=Q8IYU2,HUMAN|HGNC=9554|UniProtKB=Q99460,HUMAN|HGNC=6973|UniProtKB=Q00987,HUMAN|HGNC=12474|UniProtKB=P51668,HUMAN|HGNC=21607|UniProtKB=Q9NVV5,HUMAN|HGNC=16889|UniProtKB=O00487,HUMAN|HGNC=16803|UniProtKB=Q15386,HUMAN|HGNC=9557|UniProtKB=O00232,HUMAN|HGNC=12473|UniProtKB=P63146,HUMAN|HGNC=16807|UniProtKB=Q9HCE7,HUMAN|HGNC=12482|UniProtKB=P62253,HUMAN|HGNC=12488|UniProtKB=P68036,HUMAN|HGNC=15937|UniProtKB=O00762,HUMAN|HGNC=9561|UniProtKB=P55036,HUMAN|HGNC=12476|UniProtKB=P61077,HUMAN|HGNC=12471|UniProtKB=P41226,HUMAN|HGNC=16804|UniProtKB=O00308,HUMAN|HGNC=7727|UniProtKB=P46934,HUMAN|HGNC=17004|UniProtKB=Q9H0M0,HUMAN|HGNC=21647|UniProtKB=Q9Y2X8,HUMAN|HGNC=9551|UniProtKB=P43686,HUMAN|HGNC=12496|UniProtKB=Q05086,HUMAN|HGNC=12494|UniProtKB=Q13404,HUMAN|HGNC=9548|UniProtKB=P35998,HUMAN|HGNC=16935|UniProtKB=O95352,HUMAN|HGNC=13890|UniProtKB=Q96J02,HUMAN|HGNC=12472|UniProtKB=P49459,HUMAN|HGNC=12469|UniProtKB=P22314,HUMAN|HGNC=9564|UniProtKB=Q15008,HUMAN|HGNC=9547|UniProtKB=P62191,HUMAN|HGNC=30661|UniProtKB=Q9UBT2,HUMAN|HGNC=9559|UniProtKB=Q13200,HUMAN|HGNC=12495|UniProtKB=Q15819,HUMAN|HGNC=9560|UniProtKB=O43242,HUMAN|HGNC=9566|UniProtKB=P48556,HUMAN|HGNC=12477|UniProtKB=P51965,HUMAN|HGNC=17895|UniProtKB=Q16763,HUMAN|HGNC=25581|UniProtKB=A0AVT1,HUMAN|HGNC=30660|UniProtKB=Q9UBE0,HUMAN|HGNC=16809|UniProtKB=Q9HAU4,HUMAN|HGNC=9549|UniProtKB=P17980,HUMAN|HGNC=9552|UniProtKB=P62195,HUMAN|HGNC=12479|UniProtKB=Q969T4,HUMAN|HGNC=31710|UniProtKB=Q5JXB2,HUMAN|HGNC=9558|UniProtKB=Q9UNM6,HUMAN|HGNC=30892|UniProtKB=Q7Z6Z7,HUMAN|HGNC=12483|UniProtKB=P60604,HUMAN|HGNC=12492|UniProtKB=P61088,HUMAN|HGNC=12478|UniProtKB=Q96LR5,HUMAN|HGNC=9553|UniProtKB=P62333,HUMAN|HGNC=12484|UniProtKB=P62256,HUMAN|HGNC=9565|UniProtKB=P51665,HUMAN|HGNC=4914|UniProtKB=P61086,HUMAN|HGNC=9567|UniProtKB=O00233,HUMAN|HGNC=13478|UniProtKB=Q7Z3V4	Ubiquitin proteasome pathway	6	129	614
P04375	HUMAN|HGNC=5297|UniProtKB=P46098,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=6283|UniProtKB=Q9NPC2,HUMAN|HGNC=6278|UniProtKB=O14649,HUMAN|HGNC=11050|UniProtKB=P31645,HUMAN|HGNC=10935|UniProtKB=Q05940,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=11438|UniProtKB=Q13277	5HT3 type receptor mediated signaling pathway	5	22	120
P02751	HUMAN|HGNC=12662|UniProtKB=P61758,HUMAN|HGNC=6343|UniProtKB=P21583,HUMAN|HGNC=2535|UniProtKB=P09668,HUMAN|HGNC=177|UniProtKB=Q03154	Lysine biosynthesis	9	26	100
P04372	HUMAN|HGNC=10316|UniProtKB=P62829,HUMAN|HGNC=6708|UniProtKB=P48449,HUMAN|HGNC=405|UniProtKB=P30838,HUMAN|HGNC=6834|UniProtKB=P27338,HUMAN|HGNC=403|UniProtKB=P51648,HUMAN|HGNC=15472|UniProtKB=O94788	5-Hydroxytryptamine degredation	2	17	52
P00043	HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=6270|UniProtKB=Q92806,HUMAN|HGNC=14025|UniProtKB=Q9GZV3,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=19300|UniProtKB=Q8N4C7,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=16661|UniProtKB=Q8IZU2,HUMAN|HGNC=983|UniProtKB=P06276,HUMAN|HGNC=1399|UniProtKB=P54289,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=3403|UniProtKB=P32856,HUMAN|HGNC=4393|UniProtKB=P11488,HUMAN|HGNC=26437|UniProtKB=Q96NA8,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=4389|UniProtKB=P09471,HUMAN|HGNC=6267|UniProtKB=P48051,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=11433|UniProtKB=Q16623,HUMAN|HGNC=6264|UniProtKB=P48549,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=26790|UniProtKB=Q3MJ13,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=1951|UniProtKB=P08172,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=11439|UniProtKB=Q12846,HUMAN|HGNC=4394|UniProtKB=P19087,HUMAN|HGNC=11429|UniProtKB=O75558,HUMAN|HGNC=11431|UniProtKB=O14662,HUMAN|HGNC=18539|UniProtKB=P61266,HUMAN|HGNC=11438|UniProtKB=Q13277,HUMAN|HGNC=1912|UniProtKB=P28329	Muscarinic acetylcholine receptor 2 and 4 signaling pathway	11	85	376
P00015	HUMAN|HGNC=2082|UniProtKB=O15516,HUMAN|HGNC=2385|UniProtKB=Q49AN0,HUMAN|HGNC=8845|UniProtKB=O15534,HUMAN|HGNC=2453|UniProtKB=P49674,HUMAN|HGNC=2384|UniProtKB=Q16526,HUMAN|HGNC=8847|UniProtKB=P56645,HUMAN|HGNC=2452|UniProtKB=P48730,HUMAN|HGNC=701|UniProtKB=O00327,HUMAN|HGNC=8846|UniProtKB=O15055	Circadian clock system	14	22	95
P06212	HUMAN|HGNC=8747|UniProtKB=Q92824	DPP-SCW signaling pathway	21	16	16
P00004	HUMAN|HGNC=12782|UniProtKB=P56703,HUMAN|HGNC=3432|UniProtKB=Q15303,HUMAN|HGNC=581|UniProtKB=O00213,HUMAN|HGNC=2510|UniProtKB=P26232,HUMAN|HGNC=4041|UniProtKB=Q9NPG1,HUMAN|HGNC=12333|UniProtKB=P48995,HUMAN|HGNC=8747|UniProtKB=Q92824,HUMAN|HGNC=129|UniProtKB=P68133,HUMAN|HGNC=7883|UniProtKB=Q9UM47,HUMAN|HGNC=9508|UniProtKB=P49768,HUMAN|HGNC=1748|UniProtKB=P12830,HUMAN|HGNC=3084|UniProtKB=O14640,HUMAN|HGNC=7161|UniProtKB=P51511,HUMAN|HGNC=169|UniProtKB=P61160,HUMAN|HGNC=12338|UniProtKB=Q9Y210,HUMAN|HGNC=7158|UniProtKB=P39900,HUMAN|HGNC=12776|UniProtKB=O96014,HUMAN|HGNC=143|UniProtKB=P68032,HUMAN|HGNC=8568|UniProtKB=P09958,HUMAN|HGNC=6692|UniProtKB=Q07954,HUMAN|HGNC=12781|UniProtKB=Q93097,HUMAN|HGNC=9706|UniProtKB=Q15223,HUMAN|HGNC=6697|UniProtKB=O75197,HUMAN|HGNC=6207|UniProtKB=P14923,HUMAN|HGNC=3086|UniProtKB=O14641,HUMAN|HGNC=4040|UniProtKB=Q14332,HUMAN|HGNC=12337|UniProtKB=Q9UL62,HUMAN|HGNC=3449|UniProtKB=O75460,HUMAN|HGNC=12335|UniProtKB=Q13507,HUMAN|HGNC=12787|UniProtKB=P56706,HUMAN|HGNC=7160|UniProtKB=P50281,HUMAN|HGNC=13829|UniProtKB=Q9GZT5,HUMAN|HGNC=12789|UniProtKB=Q93098,HUMAN|HGNC=12784|UniProtKB=P41221,HUMAN|HGNC=7137|UniProtKB=P55196,HUMAN|HGNC=7881|UniProtKB=P46531,HUMAN|HGNC=11639|UniProtKB=P36402,HUMAN|HGNC=4042|UniProtKB=Q9ULV1,HUMAN|HGNC=20754|UniProtKB=Q9HCX4,HUMAN|HGNC=29509|UniProtKB=Q96BI3,HUMAN|HGNC=4046|UniProtKB=Q9H461,HUMAN|HGNC=7884|UniProtKB=Q99466,HUMAN|HGNC=17091|UniProtKB=Q92542,HUMAN|HGNC=5724|UniProtKB=Q06330,HUMAN|HGNC=12801|UniProtKB=P17861,HUMAN|HGNC=620|UniProtKB=P05067,HUMAN|HGNC=12783|UniProtKB=P56705,HUMAN|HGNC=132|UniProtKB=P60709,HUMAN|HGNC=9138|UniProtKB=Q01780,HUMAN|HGNC=1762|UniProtKB=P22223,HUMAN|HGNC=12774|UniProtKB=P04628,HUMAN|HGNC=14246|UniProtKB=Q9NPA2,HUMAN|HGNC=7166|UniProtKB=P08253,HUMAN|HGNC=7174|UniProtKB=P09237,HUMAN|HGNC=933|UniProtKB=P56817,HUMAN|HGNC=7163|UniProtKB=Q9ULZ9,HUMAN|HGNC=13358|UniProtKB=Q8TDD5,HUMAN|HGNC=6696|UniProtKB=O75096,HUMAN|HGNC=7176|UniProtKB=P14780,HUMAN|HGNC=7165|UniProtKB=Q99542,HUMAN|HGNC=3087|UniProtKB=Q92997,HUMAN|HGNC=6698|UniProtKB=O75581,HUMAN|HGNC=13585|UniProtKB=Q9NRD1,HUMAN|HGNC=12788|UniProtKB=Q9H1J5,HUMAN|HGNC=7175|UniProtKB=P22894,HUMAN|HGNC=7167|UniProtKB=O60882,HUMAN|HGNC=16265|UniProtKB=Q9H1J7,HUMAN|HGNC=7693|UniProtKB=Q16795,HUMAN|HGNC=16267|UniProtKB=Q9UBV4,HUMAN|HGNC=12786|UniProtKB=O00755,HUMAN|HGNC=12780|UniProtKB=P09544,HUMAN|HGNC=4045|UniProtKB=O75084,HUMAN|HGNC=15983|UniProtKB=P56704,HUMAN|HGNC=12816|UniProtKB=Q01831,HUMAN|HGNC=12785|UniProtKB=Q9Y6F9,HUMAN|HGNC=7155|UniProtKB=P03956,HUMAN|HGNC=4044|UniProtKB=O60353,HUMAN|HGNC=4039|UniProtKB=Q9ULW2,HUMAN|HGNC=7159|UniProtKB=P45452,HUMAN|HGNC=7162|UniProtKB=P51512,HUMAN|HGNC=6551|UniProtKB=Q9UJU2,HUMAN|HGNC=12778|UniProtKB=O14904,HUMAN|HGNC=12779|UniProtKB=O14905,HUMAN|HGNC=4043|UniProtKB=Q13467,HUMAN|HGNC=24847|UniProtKB=Q9H4M3,HUMAN|HGNC=2514|UniProtKB=P35222,HUMAN|HGNC=195|UniProtKB=P78536,HUMAN|HGNC=2509|UniProtKB=P35221,HUMAN|HGNC=4047|UniProtKB=O00144,HUMAN|HGNC=4617|UniProtKB=P49841,HUMAN|HGNC=4038|UniProtKB=Q9UP38,HUMAN|HGNC=5275|UniProtKB=Q92993,HUMAN|HGNC=13581|UniProtKB=Q9UK22,HUMAN|HGNC=12336|UniProtKB=Q9UBN4,HUMAN|HGNC=7882|UniProtKB=Q04721,HUMAN|HGNC=12775|UniProtKB=O00744,HUMAN|HGNC=13761|UniProtKB=Q9UBG7,HUMAN|HGNC=17780|UniProtKB=Q562R1,HUMAN|HGNC=1681|UniProtKB=P16070,HUMAN|HGNC=11641|UniProtKB=Q9NQB0,HUMAN|HGNC=6693|UniProtKB=Q9NZR2,HUMAN|HGNC=144|UniProtKB=P63261	Alzheimer disease-presenilin pathway	70	220	1013
P02763	HUMAN|HGNC=9800|UniProtKB=Q9UNT1,HUMAN|HGNC=9799|UniProtKB=Q9UBK7,HUMAN|HGNC=9769|UniProtKB=O15211	Peptidoglycan biosynthesis	11	23	95
P02759	HUMAN|HGNC=30260|UniProtKB=Q9NVS9,HUMAN|HGNC=19129|UniProtKB=Q9Y617	Pyridoxal-5-phosphate biosynthesis	7	10	65
P00051	HUMAN|HGNC=11449|UniProtKB=P53597,HUMAN|HGNC=2422|UniProtKB=O75390,HUMAN|HGNC=6970|UniProtKB=P40925,HUMAN|HGNC=8124|UniProtKB=Q02218,HUMAN|HGNC=8806|UniProtKB=P08559,HUMAN|HGNC=8807|UniProtKB=P29803,HUMAN|HGNC=5383|UniProtKB=P48735,HUMAN|HGNC=10682|UniProtKB=Q99643	TCA cycle	10	23	78
P06217	HUMAN|HGNC=7562|UniProtKB=Q99836,HUMAN|HGNC=1144|UniProtKB=Q9Y297	Toll pathway-drosophila	17	12	11
P00050	HUMAN|HGNC=3662|UniProtKB=P02675,HUMAN|HGNC=9051|UniProtKB=P00750,HUMAN|HGNC=8583|UniProtKB=P05121,HUMAN|HGNC=7176|UniProtKB=P14780,HUMAN|HGNC=7155|UniProtKB=P03956,HUMAN|HGNC=28651|UniProtKB=Q9BRX8,HUMAN|HGNC=2300|UniProtKB=Q96IY4,HUMAN|HGNC=3694|UniProtKB=P02679,HUMAN|HGNC=7159|UniProtKB=P45452,HUMAN|HGNC=7175|UniProtKB=P22894,HUMAN|HGNC=9075|UniProtKB=P08697,HUMAN|HGNC=7156|UniProtKB=P09238,HUMAN|HGNC=8584|UniProtKB=P05120,HUMAN|HGNC=9052|UniProtKB=P00749,HUMAN|HGNC=9053|UniProtKB=Q03405	Plasminogen activating cascade	22	26	88
P04376	HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=6283|UniProtKB=Q9NPC2,HUMAN|HGNC=6278|UniProtKB=O14649,HUMAN|HGNC=11050|UniProtKB=P31645,HUMAN|HGNC=10935|UniProtKB=Q05940,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=11438|UniProtKB=Q13277	5HT4 type receptor mediated signaling pathway	7	24	130
P02776	HUMAN|HGNC=8923|UniProtKB=O43175,HUMAN|HGNC=6809|UniProtKB=O15479,HUMAN|HGNC=10852|UniProtKB=P34897,HUMAN|HGNC=9577|UniProtKB=P78330,HUMAN|HGNC=10850|UniProtKB=P34896,HUMAN|HGNC=19129|UniProtKB=Q9Y617	Serine glycine biosynthesis	4	29	143
P05731	HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=20731|UniProtKB=Q9HAV0,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=240|UniProtKB=O60503,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=4400|UniProtKB=P16520,HUMAN|HGNC=1389|UniProtKB=Q00975,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=4389|UniProtKB=P09471,HUMAN|HGNC=236|UniProtKB=O95622,HUMAN|HGNC=4507|UniProtKB=O75899,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=232|UniProtKB=Q08828,HUMAN|HGNC=6264|UniProtKB=P48549,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=1388|UniProtKB=O00555,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=1394|UniProtKB=O43497,HUMAN|HGNC=4070|UniProtKB=Q9UBS5,HUMAN|HGNC=4396|UniProtKB=P62873,HUMAN|HGNC=237|UniProtKB=O43306	GABA-B receptor II signaling	9	48	265
P04379	HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=11438|UniProtKB=Q13277,HUMAN|HGNC=288|UniProtKB=P13945	Beta3 adrenergic receptor signaling pathway	4	17	98
P00006	HUMAN|HGNC=3573|UniProtKB=Q13158,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=994|UniProtKB=O43521,HUMAN|HGNC=2345|UniProtKB=P16220,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=6848|UniProtKB=Q13233,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=591|UniProtKB=Q13489,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=11904|UniProtKB=O00220,HUMAN|HGNC=991|UniProtKB=Q16548,HUMAN|HGNC=11905|UniProtKB=O14763,HUMAN|HGNC=6866|UniProtKB=O95819,HUMAN|HGNC=959|UniProtKB=Q07812,HUMAN|HGNC=3346|UniProtKB=Q14249,HUMAN|HGNC=7794|UniProtKB=P19838,HUMAN|HGNC=1509|UniProtKB=Q14790,HUMAN|HGNC=785|UniProtKB=P18847,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=995|UniProtKB=Q92843,HUMAN|HGNC=792|UniProtKB=P17544,HUMAN|HGNC=11907|UniProtKB=Q9UBN6,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=9956|UniProtKB=Q01201,HUMAN|HGNC=5238|UniProtKB=P11021,HUMAN|HGNC=6864|UniProtKB=Q12851,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=11723|UniProtKB=P55061,HUMAN|HGNC=940|UniProtKB=O95429,HUMAN|HGNC=12032|UniProtKB=Q12933,HUMAN|HGNC=1051|UniProtKB=Q13323,HUMAN|HGNC=9954|UniProtKB=Q04864,HUMAN|HGNC=3796|UniProtKB=P01100,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=2340|UniProtKB=P78560,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=993|UniProtKB=Q9HD36,HUMAN|HGNC=791|UniProtKB=P18850,HUMAN|HGNC=6865|UniProtKB=Q8IVH8,HUMAN|HGNC=11917|UniProtKB=P20333,HUMAN|HGNC=9437|UniProtKB=P19525,HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=576|UniProtKB=O14727,HUMAN|HGNC=5239|UniProtKB=P17066,HUMAN|HGNC=1876|UniProtKB=O15519,HUMAN|HGNC=949|UniProtKB=Q16611,HUMAN|HGNC=786|UniProtKB=P18848,HUMAN|HGNC=11920|UniProtKB=P25445,HUMAN|HGNC=6843|UniProtKB=P46734,HUMAN|HGNC=19986|UniProtKB=P99999,HUMAN|HGNC=1504|UniProtKB=P42574,HUMAN|HGNC=992|UniProtKB=Q07817,HUMAN|HGNC=5467|UniProtKB=P11717,HUMAN|HGNC=937|UniProtKB=Q99933,HUMAN|HGNC=5232|UniProtKB=P08107,HUMAN|HGNC=6853|UniProtKB=Q99558,HUMAN|HGNC=7795|UniProtKB=Q00653,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=592|UniProtKB=P98170,HUMAN|HGNC=990|UniProtKB=P10415,HUMAN|HGNC=2349|UniProtKB=Q99941,HUMAN|HGNC=11998|UniProtKB=P04637,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=3265|UniProtKB=P05198,HUMAN|HGNC=5235|UniProtKB=P54652,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=1511|UniProtKB=P55211,HUMAN|HGNC=5241|UniProtKB=P11142,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=11892|UniProtKB=P01375,HUMAN|HGNC=6943|UniProtKB=Q07820,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=590|UniProtKB=Q13490,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=21698|UniProtKB=Q9NWF9,HUMAN|HGNC=6766|UniProtKB=Q8WXG6,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=1508|UniProtKB=P55210,HUMAN|HGNC=6844|UniProtKB=P45985,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=9438|UniProtKB=O75569,HUMAN|HGNC=6857|UniProtKB=Q99683,HUMAN|HGNC=939|UniProtKB=O95817,HUMAN|HGNC=1500|UniProtKB=Q92851,HUMAN|HGNC=9955|UniProtKB=Q04206,HUMAN|HGNC=7797|UniProtKB=P25963,HUMAN|HGNC=11916|UniProtKB=P19438,HUMAN|HGNC=11936|UniProtKB=P48023,HUMAN|HGNC=784|UniProtKB=P15336,HUMAN|HGNC=21528|UniProtKB=Q9NR28,HUMAN|HGNC=11925|UniProtKB=P50591,HUMAN|HGNC=8768|UniProtKB=O95831,HUMAN|HGNC=12030|UniProtKB=Q15628,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=5234|UniProtKB=P34931,HUMAN|HGNC=5960|UniProtKB=O14920,HUMAN|HGNC=1974|UniProtKB=O15111,HUMAN|HGNC=8977|UniProtKB=O00329	Apoptosis signaling pathway	72	188	865
P06209	HUMAN|HGNC=8747|UniProtKB=Q92824	ALP23B signaling pathway	13	10	10
