HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms
HGNC:4410	GNG7	G protein subunit gamma 7		FLJ00058
HGNC:19664	GNG8	G protein subunit gamma 8		
HGNC:4402	GNG10	G protein subunit gamma 10		
HGNC:49502	GNG10P1	G protein subunit gamma 10 pseudogene 1		
HGNC:4403	GNG11	G protein subunit gamma 11		GNGT11
HGNC:19663	GNG12	G protein subunit gamma 12		
HGNC:43938	GNG12-AS1	GNG12 antisense RNA 1		
HGNC:14131	GNG13	G protein subunit gamma 13		h2-35, G(gamma)13
HGNC:4411	GNGT1	G protein subunit gamma transducin 1		GNG1
HGNC:4412	GNGT2	G protein subunit gamma transducin 2		GNG9
HGNC:4413	GNL1	G protein nucleolar 1 (putative)		HSR1
HGNC:29925	GNL2	G protein nucleolar 2		Ngp-1, HUMAUANTIG, Nog2, Nug2
HGNC:50779	GNL2P1	G protein nucleolar 2 pseudogene 1		
HGNC:29931	GNL3	G protein nucleolar 3		C77032, E2IG3, MGC800, NS
HGNC:25553	GNL3L	G protein nucleolar 3 like		FLJ10613, GNL3B
HGNC:25733	GNL3LP1	G protein nucleolar 3 like pseudogene 1	GNL3LP	FLJ12595
HGNC:4414	GNLY	granulysin	LAG2	NKG5, LAG-2, D2S69E, TLA519
HGNC:4415	GNMT	glycine N-methyltransferase		
HGNC:4416	GNPAT	glyceronephosphate O-acyltransferase		DHAPAT, DAPAT, DAP-AT
HGNC:34031	GNPATP	glyceronephosphate O-acyltransferase pseudogene		
HGNC:4417	GNPDA1	glucosamine-6-phosphate deaminase 1	GNPI	GNPDA, HLN, GPI, KIAA0060
HGNC:21526	GNPDA2	glucosamine-6-phosphate deaminase 2		SB52
HGNC:19980	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1		Gpnat1, FLJ10607
HGNC:29670	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	GNPTA	KIAA1208, MGC4170
HGNC:4418	GNPTA~withdrawn	symbol withdrawn, see GNPTAB		
HGNC:23026	GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit	GNPTAG, C16orf27	CAB56184, c316G12.3
HGNC:4419	GNRH1	gonadotropin releasing hormone 1	GRH, GNRH, LHRH	
HGNC:4420	GNRH2	gonadotropin releasing hormone 2		
HGNC:4421	GNRHR	gonadotropin releasing hormone receptor	GRHR	LHRHR
HGNC:16341	GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)		
HGNC:39424	GNRHR2P1	GNRHR2 pseudogene 1		
HGNC:4422	GNS	glucosamine (N-acetyl)-6-sulfatase		
HGNC:4423	GNT1~withdrawn	symbol withdrawn, see UGT1A1		
HGNC:4424	GOLGA1	golgin A1		golgin-97, MGC33154
HGNC:4425	GOLGA2	golgin A2		GM130, golgin-95
HGNC:31052	GOLGA2P1	golgin A2 pseudogene 1		
HGNC:16479	GOLGA2P2Y	golgin A2 pseudogene 2, Y-linked	GOLGA2LY1, GOLGA2P2	
HGNC:32426	GOLGA2P3Y	golgin A2 pseudogene 3, Y-linked	GOLGA2LY2, GOLGA2P3	
HGNC:38600	GOLGA2P4	golgin A2 pseudogene 4		
HGNC:25315	GOLGA2P5	golgin A2 pseudogene 5	GOLGA2L1, GOLGA2B	DKFZp434M0331
HGNC:44948	GOLGA2P6	golgin A2 pseudogene 6		
HGNC:49516	GOLGA2P7	golgin A2 pseudogene 7		
HGNC:49922	GOLGA2P8	golgin A2 pseudogene 8		
HGNC:49921	GOLGA2P9	golgin A2 pseudogene 9		
HGNC:26229	GOLGA2P10	golgin A2 pseudogene 10		FLJ22795, AgSK1
HGNC:26788	GOLGA2P11	golgin A2 pseudogene 11		FLJ38723
HGNC:4426	GOLGA3	golgin A3		golgin-160, GCP170, MEA-2
HGNC:4427	GOLGA4	golgin A4		GOLG, GCP2, p230, golgin-240
HGNC:18660	GOLGA4P1	golgin A4 pseudogene 1		
HGNC:20727	GOLGA4P2	golgin A4 pseudogene 2		
HGNC:43786	GOLGA4P3	golgin A4 pseudogene 3		
HGNC:4428	GOLGA5	golgin A5		ret-II, golgin-84, rfg5, GOLIM5
HGNC:43925	GOLGA5P1	golgin A5 pseudogene 1		
HGNC:13567	GOLGA6A	golgin A6 family member A	GOLGA6	GLP
HGNC:32205	GOLGA6B	golgin A6 family member B		
HGNC:32206	GOLGA6C	golgin A6 family member C		
HGNC:32204	GOLGA6D	golgin A6 family member D		
HGNC:37444	GOLGA6L1	golgin A6 family-like 1		
HGNC:26695	GOLGA6L2	golgin A6 family-like 2		CT105, FLJ36144
HGNC:37441	GOLGA6L3	golgin A6 family-like 3		
HGNC:27256	GOLGA6L4	golgin A6 family-like 4		
HGNC:30472	GOLGA6L5P	golgin A6 family-like 5, pseudogene	GOLGA6L5	FLJ35171, FLJ40113, GOLGA6L8
HGNC:37225	GOLGA6L6	golgin A6 family-like 6		FLJ36131
HGNC:37442	GOLGA6L7P	golgin A6 family-like 7, pseudogene	GOLGA6L7	
HGNC:37229	GOLGA6L9	golgin A6 family-like 9	GOLGA6L20	
HGNC:37228	GOLGA6L10	golgin A6 family-like 10	GOLGA6L18	
HGNC:23958	GOLGA6L11P	golgin A6 family-like 11, pseudogene	GOLGA6L15P	
HGNC:23959	GOLGA6L12P	golgin A6 family-like 12, pseudogene		
HGNC:23960	GOLGA6L13P	golgin A6 family-like 13, pseudogene		
HGNC:23961	GOLGA6L14P	golgin A6 family-like 14, pseudogene		
HGNC:38114	GOLGA6L15P~withdrawn	symbol withdrawn, see GOLGA6L11P		
HGNC:38117	GOLGA6L16P	golgin A6 family-like 16, pseudogene		
HGNC:49414	GOLGA6L17P	golgin A6 family-like 17, pseudogene	GOLGA6L21P	
HGNC:49415	GOLGA6L18~withdrawn	symbol withdrawn, see GOLGA6L10		
HGNC:49416	GOLGA6L19	golgin A6 family-like 19		
HGNC:49391	GOLGA6L20~withdrawn	symbol withdrawn, see GOLGA6L9		
HGNC:49417	GOLGA6L21P~withdrawn	symbol withdrawn, see GOLGA6L17P		
HGNC:50289	GOLGA6L22	golgin A6 family-like 22		
HGNC:24876	GOLGA7	golgin A7		GCP16, HSPC041, GOLGA3AP1, GOLGA7A
HGNC:31668	GOLGA7B	golgin A7 family member B	C10orf133, C10orf132	bA459F3.4, bA451M19.3
HGNC:31972	GOLGA8A	golgin A8 family member A		GM88, GOLGIN-67
HGNC:31973	GOLGA8B	golgin A8 family member B		
HGNC:32375	GOLGA8CP	golgin A8 family member C, pseudogene	GOLGA8C	
HGNC:32376	GOLGA8DP	golgin A8 family member D, pseudogene	GOLGA8D	
HGNC:32377	GOLGA8EP	golgin A8 family member E, pseudogene	GOLGA8E	
HGNC:32378	GOLGA8F	golgin A8 family member F		DKFZp434P162
HGNC:25328	GOLGA8G	golgin A8 family member G		DKFZp434K052
HGNC:37443	GOLGA8H	golgin A8 family member H		GOLGA6L11
HGNC:26660	GOLGA8IP	golgin A8 family member I, pseudogene	GOLGA9P, GOLGA8I	FLJ35785
HGNC:38650	GOLGA8J	golgin A8 family member J		
HGNC:38652	GOLGA8K	golgin A8 family member K		
HGNC:44404	GOLGA8M	golgin A8 family member M		
HGNC:44405	GOLGA8N	golgin A8 family member N		
HGNC:44406	GOLGA8O	golgin A8 family member O		
HGNC:44408	GOLGA8Q	golgin A8 family member Q		
HGNC:44407	GOLGA8R	golgin A8 family member R		
HGNC:44409	GOLGA8S	golgin A8 family member S		
HGNC:44410	GOLGA8T	golgin A8 family member T		
HGNC:44411	GOLGA8UP	golgin A8 family member U, pseudogene		
HGNC:49920	GOLGA8VP	golgin A8 family member V, pseudogene		
HGNC:4429	GOLGB1	golgin B1		GCP, GCP372, giantin, GOLIM1
HGNC:15448	GOLIM4	golgi integral membrane protein 4	GOLPH4	GPP130, GIMPC, P138
HGNC:15451	GOLM1	golgi membrane protein 1	GOLPH2, C9orf155	GP73, FLJ23608, bA379P1.3
HGNC:15452	GOLPH3	golgi phosphoprotein 3		GPP34, GOPP1, MIDAS, Vps74
HGNC:24882	GOLPH3L	golgi phosphoprotein 3 like		GPP34R
HGNC:24766	GOLT1A	golgi transport 1A		FLJ42654, CGI-141, YMR292W, GOT1, MGC62027
HGNC:20175	GOLT1B	golgi transport 1B		CGI-141, YMR292W, GOT1
HGNC:25973	GON4L	gon-4 like	GON4	FLJ20203, GON-4, YARP
HGNC:17643	GOPC	golgi-associated PDZ and coiled-coil motif containing		dJ94G16.2, PIST, FIG, GOPC1, CAL
HGNC:25676	GORAB	golgin, RAB6-interacting	SCYL1BP1	FLJ11752, NTKL-BP1, GO
HGNC:16769	GORASP1	golgi reassembly stacking protein 1	GOLPH5	GRASP65, P65, FLJ23443
HGNC:17500	GORASP2	golgi reassembly stacking protein 2		GRASP55, GRS2, GOLPH6
HGNC:4430	GOSR1	golgi SNAP receptor complex member 1		GOS28, P28, GS28, GOS-28, GOLIM2
HGNC:4431	GOSR2	golgi SNAP receptor complex member 2		GS27, Bos1
HGNC:4432	GOT1	glutamic-oxaloacetic transaminase 1, soluble		AST1
HGNC:28487	GOT1L1	glutamic-oxaloacetic transaminase 1-like 1		MGC33309
HGNC:4433	GOT2	glutamic-oxaloacetic transaminase 2		mitAAT, KATIV, KAT4
HGNC:4434	GOT2P1	glutamic-oxaloacetic transaminase 2 pseudogene 1	GOT2L1	
HGNC:4435	GOT2P2	glutamic-oxaloacetic transaminase 2 pseudogene 2	GOT2L2	
HGNC:4436	GOT2P3	glutamic-oxaloacetic transaminase 2 pseudogene 3	GOT2L3, GOT2L3P	
HGNC:22936	GOT2P4	glutamic-oxaloacetic transaminase 2 pseudogene 4		GOT2L4
HGNC:38439	GOT2P5	glutamic-oxaloacetic transaminase 2 pseudogene 5		GOT2Y
HGNC:4437	GOV~withdrawn	symbol withdrawn, see RAB3D		
HGNC:4438	GOX1~withdrawn	symbol withdrawn, see HAO1		
HGNC:4439	GP1BA	glycoprotein Ib platelet alpha subunit	GP1B	CD42b, GPIbalpha
HGNC:4440	GP1BB	glycoprotein Ib platelet beta subunit		CD42c, GPIbbeta
HGNC:4441	GP2	glycoprotein 2		ZAP75
HGNC:4442	GP2B~withdrawn	symbol withdrawn, see ITGA2B		
HGNC:4443	GP5	glycoprotein V platelet		CD42d
HGNC:14388	GP6	glycoprotein VI platelet		GPVI
HGNC:4444	GP9	glycoprotein IX platelet		CD42a, GPIX
HGNC:4445	GPA33	glycoprotein A33		A33
HGNC:4446	GPAA1	glycosylphosphatidylinositol anchor attachment 1		GAA1, hGAA1
HGNC:4447	GPAA1P1	glycosylphosphatidylinositol anchor attachment 1 pseudogene 1		
HGNC:51484	GPAA1P2	glycosylphosphatidylinositol anchor attachment 1 pseudogene 2		
HGNC:20298	GPALPP1	GPALPP motifs containing 1	KIAA1704	bA245H20.2, AD029, LSR7
HGNC:24865	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial		KIAA1560, MGC26846, GPAT1
HGNC:13920	GPANK1	G-patch domain and ankyrin repeats 1	BAT4	G5, D6S54E, GPATCH10, ANKRD59
HGNC:27168	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial		CT123
HGNC:28157	GPAT3	glycerol-3-phosphate acyltransferase 3	AGPAT9	MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10
HGNC:20880	GPAT4	glycerol-3-phosphate acyltransferase 4	AGPAT6	DKFZp586M1819, LPAAT-zeta, TSARG7
HGNC:24658	GPATCH1	G-patch domain containing 1	GPATC1	ECGP, FLJ10206, FLJ38686
HGNC:25499	GPATCH2	G-patch domain containing 2	GPATC2	FLJ10252, CT110, PPP1R30
HGNC:20210	GPATCH2L	G-patch domain containing 2 like	C14orf118	FLJ20689, FLJ10033
HGNC:25720	GPATCH3	G-patch domain containing 3	GPATC3	FLJ12455
HGNC:25982	GPATCH4	G-patch domain containing 4	GPATC4	FLJ20249, DKFZP434F1735
HGNC:29066	GPATCH8	G-patch domain containing 8	KIAA0553, GPATC8	
HGNC:26768	GPATCH11	G-patch domain containing 11	CCDC75	FLJ38348, CENPY, CENP-Y
HGNC:19680	GPBAR1	G protein-coupled bile acid receptor 1		BG37, GPCR, TGR5, M-BAR, GPCR19, GPR131, MGC40597
HGNC:29520	GPBP1	GC-rich promoter binding protein 1		DKFZp761C169, vasculin
HGNC:28843	GPBP1L1	GC-rich promoter binding protein 1 like 1		SP192
HGNC:4448	GPB~withdrawn	entry withdrawn		
HGNC:4449	GPC1	glypican 1		glypican
HGNC:4450	GPC2	glypican 2		cerebroglycan, FLJ38962, DKFZp547M109
HGNC:4451	GPC3	glypican 3	SDYS	OCI-5, SGBS, SGBS1, SGB, DGSX
HGNC:4452	GPC4	glypican 4		K-glypican
HGNC:4453	GPC5	glypican 5		
HGNC:39886	GPC5-AS1	GPC5 antisense RNA 1		
HGNC:39887	GPC5-AS2	GPC5 antisense RNA 2		
HGNC:41340	GPC5-IT1	GPC5 intronic transcript 1		
HGNC:4454	GPC6	glypican 6		
HGNC:39909	GPC6-AS1	GPC6 antisense RNA 1		
HGNC:39910	GPC6-AS2	GPC6 antisense RNA 2		
HGNC:26957	GPCPD1	glycerophosphocholine phosphodiesterase 1		KIAA1434, GDE5, GDPD6
HGNC:4455	GPD1	glycerol-3-phosphate dehydrogenase 1		
HGNC:28956	GPD1L	glycerol-3-phosphate dehydrogenase 1-like		KIAA0089
HGNC:4456	GPD2	glycerol-3-phosphate dehydrogenase 2		
HGNC:4457	GPDS1	glaucoma-related pigment dispersion syndrome 1		
HGNC:4485	GPER1	G protein-coupled estrogen receptor 1	CMKRL2, GPR30, GPER	FEG-1, GPCR-Br, LERGU, LERGU2, DRY12, LyGPR, CEPR
HGNC:18054	GPHA2	glycoprotein hormone alpha 2		GPA2, ZSIG51, A2, MGC126572
HGNC:18055	GPHB5	glycoprotein hormone beta 5		ZLUT1, GPB5
HGNC:15465	GPHN	gephyrin		KIAA1385
HGNC:4458	GPI	glucose-6-phosphate isomerase		AMF, NLK
HGNC:24945	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1		LOC338328, GPI-HBP1
HGNC:30677	GPKOW	G-patch domain and KOW motifs		T54, GPATC5, GPATCH5, Spp2
HGNC:4459	GPLD1	glycosylphosphatidylinositol specific phospholipase D1		
HGNC:4460	GPM6A	glycoprotein M6A	GPM6	
HGNC:4461	GPM6B	glycoprotein M6B		M6B, MGC17150, MGC54284
HGNC:38782	GPM6BP1	glycoprotein M6B pseudogene 1		
HGNC:38781	GPM6BP2	glycoprotein M6B pseudogene 2		
HGNC:38783	GPM6BP3	glycoprotein M6B pseudogene 3		
HGNC:17030	GPN1	GPN-loop GTPase 1	XAB1	NTPBP, MBDIN, ATPBD1A, RPAP4
HGNC:25513	GPN2	GPN-loop GTPase 2	ATPBD1B	FLJ10349
HGNC:30186	GPN3	GPN-loop GTPase 3	ATPBD1C	MGC14560
HGNC:44914	GPN3P1	GPN-loop GTPase 3 pseudogene 1		
HGNC:4462	GPNMB	glycoprotein nmb		NMB, HGFIN
HGNC:4463	GPR1	G protein-coupled receptor 1		
HGNC:48602	GPR1-AS	GPR1 antisense RNA	GPR1-AS1	GPR1AS
HGNC:4484	GPR3	G protein-coupled receptor 3		ACCA
HGNC:4497	GPR4	G protein-coupled receptor 4		
HGNC:4505	GPR5~withdrawn	symbol withdrawn, see XCR1		
HGNC:4515	GPR6	G protein-coupled receptor 6		
HGNC:4465	GPR11~withdrawn	symbol withdrawn, see F2RL1		
HGNC:4466	GPR12	G protein-coupled receptor 12		GPCR21, PPP1R84
HGNC:4467	GPR13~withdrawn	symbol withdrawn, see CX3CR1		
HGNC:4469	GPR15	G protein-coupled receptor 15		
HGNC:4470	GPR16~withdrawn	symbol withdrawn, see LTB4R		
HGNC:4471	GPR17	G protein-coupled receptor 17		
HGNC:4472	GPR18	G protein-coupled receptor 18		
HGNC:4473	GPR19	G protein-coupled receptor 19		
HGNC:4475	GPR20	G protein-coupled receptor 20		
HGNC:4476	GPR21	G protein-coupled receptor 21		
HGNC:4477	GPR22	G protein-coupled receptor 22		
HGNC:4480	GPR25	G protein-coupled receptor 25		
HGNC:4481	GPR26	G protein-coupled receptor 26		
HGNC:4482	GPR27	G protein-coupled receptor 27		SREB1
HGNC:4483	GPR28~withdrawn	symbol withdrawn, see CCR9		
HGNC:4486	GPR31	G protein-coupled receptor 31		HETER1, 12-HETER
HGNC:4487	GPR32	G protein-coupled receptor 32		RVDR1
HGNC:4488	GPR32P1	G protein-coupled receptor 32, pseudogene 1	GPR32P	
HGNC:4489	GPR33	G protein-coupled receptor 33 (gene/pseudogene)		
HGNC:4490	GPR34	G protein-coupled receptor 34		
HGNC:4491	GPR34P~withdrawn	entry withdrawn		
HGNC:4492	GPR35	G protein-coupled receptor 35		
HGNC:4493	GPR36	G protein-coupled receptor 36		
HGNC:4494	GPR37	G protein-coupled receptor 37		EDNRBL, hET(B)R-LP, PAELR
HGNC:14923	GPR37L1	G protein-coupled receptor 37 like 1		ETBR-LP-2
HGNC:4496	GPR39	G protein-coupled receptor 39		
HGNC:4500	GPR42	G protein-coupled receptor 42 (gene/pseudogene)	GPR42P	GPR41L, FFAR3L
HGNC:4503	GPR45	G protein-coupled receptor 45		PSP24, PSP24A
HGNC:4506	GPR50	G protein-coupled receptor 50		H9, Mel1c
HGNC:40259	GPR50-AS1	GPR50 antisense RNA 1		
HGNC:4508	GPR52	G protein-coupled receptor 52		
HGNC:4509	GPR53P	G protein-coupled receptor 53, pseudogene		PsiGPR53, dJ271M21.8
HGNC:4511	GPR55	G protein-coupled receptor 55		
HGNC:13300	GPR61	G protein-coupled receptor 61		BALGR
HGNC:13301	GPR62	G protein-coupled receptor 62		
HGNC:13302	GPR63	G protein-coupled receptor 63		PSP24(beta), PSP24B
HGNC:4517	GPR65	G protein-coupled receptor 65		hTDAG8, TDAG8
HGNC:13837	GPR67~withdrawn	symbol withdrawn, see LGR5		
HGNC:4519	GPR68	G protein-coupled receptor 68		OGR1
HGNC:4520	GPR69A~withdrawn	symbol withdrawn, see LANCL1		
HGNC:4521	GPR69B~withdrawn	symbol withdrawn, see LANCL2		
HGNC:13304	GPR70~withdrawn	symbol withdrawn, see TAS1R1		
HGNC:13305	GPR71~withdrawn	symbol withdrawn, see TAS1R2		
HGNC:4534	GPR72~withdrawn	symbol withdrawn, see GPR83		
HGNC:4526	GPR75	G protein-coupled receptor 75		WI-31133
HGNC:40043	GPR75-ASB3	GPR75-ASB3 readthrough		
HGNC:4528	GPR78	G protein-coupled receptor 78		
HGNC:4529	GPR79	G protein-coupled receptor 79, pseudogene		GPR79P
HGNC:4533	GPR82	G protein-coupled receptor 82		
HGNC:4523	GPR83	G protein-coupled receptor 83	GPR72	
HGNC:4535	GPR84	G protein-coupled receptor 84		EX33
HGNC:4536	GPR85	G protein-coupled receptor 85		SREB2
HGNC:4538	GPR87	G protein-coupled receptor 87	GPR95	
HGNC:4539	GPR88	G protein-coupled receptor 88		
HGNC:31984	GPR89A	G protein-coupled receptor 89A		UNQ192
HGNC:13840	GPR89B	G protein-coupled receptor 89B	GPR89, GPR89C	SH120
HGNC:31985	GPR89C~withdrawn	symbol withdrawn, see GPR89B		
HGNC:13951	GPR89P	G protein-coupled receptor 89 pseudogene		C11H1.2-Lp
HGNC:4541	GPR90~withdrawn	entry withdrawn		
HGNC:13660	GPR93~withdrawn	symbol withdrawn, see LPAR5		
HGNC:13661	GPR94~withdrawn	symbol withdrawn, see P2RY13		
HGNC:13662	GPR95~withdrawn	symbol withdrawn, see GPR87		
HGNC:14591	GPR99~withdrawn	symbol withdrawn, see OXGR1		
HGNC:14963	GPR101	G protein-coupled receptor 101		
HGNC:15670	GPR104~withdrawn	symbol withdrawn, see HCAR1		
HGNC:17830	GPR107	G protein-coupled receptor 107		KIAA1624, RP11-88G17, FLJ20998, LUSTR1
HGNC:17829	GPR108	G protein-coupled receptor 108		LUSTR2
HGNC:19060	GPR119	G protein-coupled receptor 119		hGPCR2, GPCR2
HGNC:19345	GPR129~withdrawn	symbol withdrawn, see FFAR4		
HGNC:19346	GPR130~withdrawn	entry withdrawn		
HGNC:17482	GPR132	G protein-coupled receptor 132		G2A
HGNC:19976	GPR134~withdrawn	symbol withdrawn, see HTR5BP		
HGNC:19991	GPR135	G protein-coupled receptor 135		HUMNPIIY20, PAFR
HGNC:24300	GPR137	G protein-coupled receptor 137		C11orf4, GPR137A, TM7SF1L1
HGNC:11862	GPR137B	G protein-coupled receptor 137B	TM7SF1	
HGNC:25445	GPR137C	G protein-coupled receptor 137C		DKFZp762F0713, TM7SF1L2
HGNC:19995	GPR139	G protein-coupled receptor 139		PGR3
HGNC:19996	GPR140~withdrawn	symbol withdrawn, see MRGPRF		
HGNC:19997	GPR141	G protein-coupled receptor 141		PGR13
HGNC:20088	GPR142	G protein-coupled receptor 142		PGR2
HGNC:20145	GPR143	G protein-coupled receptor 143	OA1	
HGNC:18499	GPR143P	G protein-coupled receptor 143 pseudogene	OA1P	
HGNC:21718	GPR146	G protein-coupled receptor 146		PGR8
HGNC:23623	GPR148	G protein-coupled receptor 148		PGR6
HGNC:23627	GPR149	G protein-coupled receptor 149		PGR10, IEDA
HGNC:23628	GPR150	G protein-coupled receptor 150		PGR11
HGNC:23624	GPR151	G protein-coupled receptor 151		PGR7, GALR4
HGNC:23622	GPR152	G protein-coupled receptor 152		PGR5
HGNC:23618	GPR153	G protein-coupled receptor 153		PGR1
HGNC:22951	GPR155	G protein-coupled receptor 155		DEPDC3, DEP.7, FLJ31819, PGR22
HGNC:20844	GPR156	G protein-coupled receptor 156		PGR28, GABABL
HGNC:23687	GPR157	G protein-coupled receptor 157		FLJ12132
HGNC:23689	GPR158	G protein-coupled receptor 158		KIAA1136
HGNC:44163	GPR158-AS1	GPR158 antisense RNA 1		
HGNC:23693	GPR160	G protein-coupled receptor 160		GPCR150, GPCR1
HGNC:23694	GPR161	G protein-coupled receptor 161		RE2
HGNC:16693	GPR162	G protein-coupled receptor 162		A-2, GRCA
HGNC:21462	GPR165P	G protein-coupled receptor 165 pseudogene		PGR15, 6530406P05Rik
HGNC:23626	GPR166P	G protein-coupled receptor 166 pseudogene		PGR9
HGNC:30057	GPR171	G protein-coupled receptor 171		H963
HGNC:18186	GPR173	G protein-coupled receptor 173		SREB3
HGNC:30245	GPR174	G protein-coupled receptor 174		FKSG79
HGNC:32370	GPR176	G protein-coupled receptor 176		Gm1012
HGNC:31371	GPR179	G protein-coupled receptor 179	GPR158L1	CSNB1E
HGNC:28899	GPR180	G protein-coupled receptor 180		ITR
HGNC:13708	GPR182	G protein-coupled receptor 182	ADMR	hrhAMR, G10D, AM-R
HGNC:3128	GPR183	G protein-coupled receptor 183	EBI2	
HGNC:24834	GPRASP1	G protein-coupled receptor associated sorting protein 1		GASP, GASP1
HGNC:25169	GPRASP2	G protein-coupled receptor associated sorting protein 2		GASP2, FLJ37327
HGNC:9836	GPRC5A	G protein-coupled receptor class C group 5 member A	RAI3	RAIG1, TIG1, PEIG-1
HGNC:13308	GPRC5B	G protein-coupled receptor class C group 5 member B		RAIG-2
HGNC:13309	GPRC5C	G protein-coupled receptor class C group 5 member C		RAIG-3
HGNC:13310	GPRC5D	G protein-coupled receptor class C group 5 member D		
HGNC:18510	GPRC6A	G protein-coupled receptor class C group 6 member A		bA86F4.3
HGNC:24835	GPRIN1	G protein regulated inducer of neurite outgrowth 1		GRIN1, KIAA1893
HGNC:23730	GPRIN2	G protein regulated inducer of neurite outgrowth 2	KIAA0514	MGC15171
HGNC:27733	GPRIN3	GPRIN family member 3		GRIN3, FLJ42625
HGNC:4546	GPRK6L~withdrawn	symbol withdrawn, see GRK6P1		
HGNC:4548	GPRK7~withdrawn	symbol withdrawn, see MKNK2		
HGNC:4549	GPS1	G protein pathway suppressor 1		COPS1, CSN1
HGNC:4550	GPS2	G protein pathway suppressor 2		
HGNC:49622	GPS2P1	G protein pathway suppressor 2 pseudogene 1		
HGNC:49623	GPS2P2	G protein pathway suppressor 2 pseudogene 2		
HGNC:17858	GPSM1	G-protein signaling modulator 1		AGS3, DKFZP727I051
HGNC:29501	GPSM2	G-protein signaling modulator 2	DFNB82	LGN, Pins
HGNC:13945	GPSM3	G-protein signaling modulator 3	C6orf9	NG1, G18, G18.1a, G18.1b, G18.2, AGS4
HGNC:4552	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)		ALT1, GPT1
HGNC:18062	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2		ALT2
HGNC:4553	GPX1	glutathione peroxidase 1		
HGNC:4560	GPX1P1	glutathione peroxidase pseudogene 1	GPXL2, GPXP1	
HGNC:4561	GPX1P2	glutathione peroxidase pseudogene 2	GPXL1, GPXP2	GPXL2, GPXP2P
HGNC:4554	GPX2	glutathione peroxidase 2		GSHPX-GI
HGNC:4555	GPX3	glutathione peroxidase 3		
HGNC:4556	GPX4	glutathione peroxidase 4		PHGPx, MCSP
HGNC:4557	GPX5	glutathione peroxidase 5		
HGNC:4558	GPX6	glutathione peroxidase 6	GPXP3	
HGNC:4559	GPX7	glutathione peroxidase 7		FLJ14777, GPX6, NPGPx
HGNC:33100	GPX8	glutathione peroxidase 8 (putative)		UNQ847, EPLA847
HGNC:13952	GPXP3~withdrawn	symbol withdrawn, see GPX6		
HGNC:29305	GRAMD1A	GRAM domain containing 1A	KIAA1533	FLJ90346
HGNC:29214	GRAMD1B	GRAM domain containing 1B		KIAA1201
HGNC:25252	GRAMD1C	GRAM domain containing 1C		DKFZp434C0328
HGNC:27287	GRAMD2	GRAM domain containing 2		
HGNC:24911	GRAMD3	GRAM domain containing 3		NS3TP2, FLJ21313
HGNC:29113	GRAMD4	GRAM domain containing 4		KIAA0767, DIP
HGNC:39653	GRAMD4P1	GRAM domain containing 4 pseudogene 1		
HGNC:39654	GRAMD4P2	GRAM domain containing 4 pseudogene 2		
HGNC:49138	GRAMD4P3	GRAM domain containing 4 pseudogene 3		
HGNC:49139	GRAMD4P4	GRAM domain containing 4 pseudogene 4		
HGNC:49140	GRAMD4P5	GRAM domain containing 4 pseudogene 5		
HGNC:49141	GRAMD4P6	GRAM domain containing 4 pseudogene 6		
HGNC:49142	GRAMD4P7	GRAM domain containing 4 pseudogene 7		
HGNC:49143	GRAMD4P8	GRAM domain containing 4 pseudogene 8		
HGNC:4562	GRAP	GRB2-related adaptor protein		
HGNC:4563	GRAP2	GRB2-related adaptor protein 2		Grf40, GrbX, GRBLG, GADS, Mona
HGNC:37240	GRAPL	GRB2-related adaptor protein-like		
HGNC:18707	GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein		Tamalin
HGNC:32680	GRASPOS	GRP1-associated scaffold protein opposite strand		
HGNC:4566	GRB2	growth factor receptor bound protein 2		NCKAP2
HGNC:4567	GRB7	growth factor receptor bound protein 7		
HGNC:4564	GRB10	growth factor receptor bound protein 10		
HGNC:4565	GRB14	growth factor receptor bound protein 14		
HGNC:24885	GREB1	growth regulation by estrogen in breast cancer 1		KIAA0575
HGNC:31042	GREB1L	growth regulation by estrogen in breast cancer-like	KIAA1772	FLJ13687, C18orf6
HGNC:2001	GREM1	gremlin 1, DAN family BMP antagonist	CKTSF1B1, CRAC1	DRM, gremlin, DAND2, HMPS
HGNC:17655	GREM2	gremlin 2, DAN family BMP antagonist		Prdc, FLJ21195, CKTSF1B2, DAND3
HGNC:17923	GRHL1	grainyhead like transcription factor 1	TFCP2L2	LBP-32, MGR
HGNC:2799	GRHL2	grainyhead like transcription factor 2	DFNA28, TFCP2L3	FLJ13782, BOM
HGNC:25839	GRHL3	grainyhead like transcription factor 3	TFCP2L4	SOM
HGNC:4570	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	GLXR	PH2
HGNC:4569	GRH~withdrawn	symbol withdrawn, see GNRH1		
